419,808
432,809
433,809
433,809
433,809
434,809
436,808
446,808
455,809
464,809
474,808
11,811
1014,796
2015,355
3015,762
4016,440
5016,243
6017,242
7017,252
8017,454
9018,808
10018,812
11019,810
12019,811
13020,710
14020,433
15021,238
16021,243
17021,791
18022,795
19022,556
20023,268
21023,568
22024,610
23024,609
24025,594
25025,583
26025,568
27026,568
28026,561
29027,545
30027,445
31028,296
32028,186
33029,487
34029,798
35031,812
36031,813
37031,811
38032,767
39036,700
40037,603
41037,687
42038,775
43038,783
44039,811
45039,787
46040,786
47040,748
48040,693
49041,516
50041,392
51042,295
52042,189
53044,237
54044,105
55045,161
56045,140
57046,162
58046,212
59046,289
